구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨 설치유형,화장실입구cctv설치유무,기저귀교환대장소,리모델링년월,데이터기준일자
공중화장실,축구공(함성),수원시 팔달구 월드컵로 310,수원시 팔달구 우만동 228,N,2,4,1,0,0,0,3,1,0,(재)월드컵경기장관리재단,031-259-2033,06:00~23:00,,,,지방자치단체,관광·체육시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,축구공(하나),수원시 팔달구 월드컵로 310,수원시 팔달구 우만동 228,N,2,4,1,0,0,0,3,1,0,(재)월드컵경기장관리재단,031-259-2033,24시간,,,,지방자치단체,관광·체육시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,축구공(감동),수원시 팔달구 월드컵로 310,수원시 팔달구 우만동 228,N,2,4,1,0,0,0,3,1,0,(재)월드컵경기장관리재단,031-259-2033,06:00~23:00,,,,지방자치단체,관광·체육시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,시원이네,수원시 팔달구 권광로 293(인계동),수원시 팔달구 인계동 333,Y,3,4,1,1,0,1,5,1,0,수원청소년문화센터,031-218-0465,06:00~22:00,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,화산공원중앙,화성시 태안로263번길 화산체육공원(송산동),화성시 송산동 91-7,N,4,6,2,0,0,0,4,2,0,수원도시공사,031-220-8134,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,화산공원,화성시 태안로263번길 화산체육공원(송산동),화성시 송산동 91-7,N,6,7,1,0,0,0,6,1,0,수원도시공사,031-220-8134,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,수원역환승센터,수원시 권선구 세화로 136(서둔동),수원시 권선구 서둔동 296-84,N,3,4,1,0,1,1,10,1,1,수원도시공사,031-8053-8521,24시간,,,,지방자치단체,교통시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,화서환승,수원시 팔달구 덕영대로 691-13(화서2동),수원시 팔달구 화서2동 643,N,2,6,1,0,0,0,2,1,0,수원도시공사,031-695-0924,24시간,,,,지방자치단체,교통시설,수세식,여자,N,없음,,2020.9.3
공중화장실,광교주차시설내,수원시 장안구 수원시 장안구 광교산로 159(하광교동),수원시 장안구 수원시 장안구 하광교동 393-2,N,3,7,1,1,0,0,10,1,0,수원도시공사,031-695-0924,24시간,,,,지방자치단체,교통시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,남문,수원시 장안구 장안구 경수대로 893(조원동),수원시 장안구 장안구 조원동 775번지,N,2,3,1,0,1,1,6,1,1,종합운동장,031-240-2737,24시간,,,,지방자치단체,관광·체육시설,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,동문,수원시 장안구 장안구 경수대로 893(조원동),수원시 장안구 장안구 조원동 775번지,N,3,3,0,0,0,0,4,0,0,KT야구단,031-248-9073,24시간,,,,지방자치단체,관광·체육시설,수세식,여자,Y,없음,,2020.9.3
공중화장실,지성,,수원시 영통구 망포동 755,N,2,2,1,0,1,1,4,1,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,방죽,,수원시 영통구 망포동 737,N,3,3,1,1,1,1,4,1,4,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,원천4공원,,수원시 영통구 매탄동 1217-6,N,1,1,0,0,0,0,1,0,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,원천2공원,,수원시 영통구 매탄동 1201,N,1,1,0,0,0,0,1,0,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,사색,,수원시 영통구 원천동 255,N,2,3,1,0,1,0,6,1,1,수원시 영통구 녹지공원과,031-228-8973,16시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,다산,,수원시 영통구 이의동 1328,N,2,3,1,0,1,0,6,1,1,수원시 영통구 녹지공원과,031-228-8973,16시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,성죽,,수원시 영통구 이의동 1213,N,1,1,1,0,0,0,2,1,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,신동수변,수원시 영통구 덕영대로1373번길 66 (신동),수원시 영통구 신동 942,N,4,3,1,0,1,1,7,1,1,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,혜령,수원시 영통구 에듀타운로 91(이의동),수원시 영통구 이의동 1354,N,2,2,1,1,1,1,8,1,2,수원시 영통구 녹지공원과,031-228-8973,16시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,광교중앙,,수원시 영통구 이의동 1302,N,3,5,1,0,1,1,10,1,2,수원시 영통구 녹지공원과,031-228-8973,16시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,연암(소),,수원시 영통구 이의동 1288,N,1,1,1,0,0,0,2,1,0,수원시 영통구 녹지공원과,031-228-8973,16시간,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,연암,,수원시 영통구 이의동 1288,N,2,3,1,0,1,1,11,1,1,수원시 영통구 녹지공원과,031-228-8973,16시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,열림,수원시 영통구 웰빙타운로 73(이의동),수원시 영통구 이의동 1183,N,3,3,1,0,1,1,12,1,1,수원시 영통구 녹지공원과,031-228-8973,16시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,망포,,수원시 영통구 망포동 358-5,N,2,3,1,0,0,0,8,1,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,반달,수원시 영통구 반달로 77(영통동),수원시 영통구 영통동 1012-4,N,2,3,0,0,0,0,5,0,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,살구,수원시 영통구 매영로 366(영통동),수원시 영통구 영통동 989-2,N,2,2,0,2,0,0,2,0,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,달맞이(벽적골공원),수원시 영통구 덕영대로1555번길 60 (영통동),수원시 영통구 영통동 969-2,N,2,2,0,2,0,0,2,0,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,참새(황골공원),수원시 영통구 영통로 530(영통동),수원시 영통구 영통동 948-2,N,2,2,0,0,0,0,2,0,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,없음,,2020.9.3
공중화장실,매탄(매여울공원),수원시 영통구 동탄원천로915번길 36(매탄동),수원시 영통구 매탄동 1277,N,2,2,1,1,0,0,5,1,0,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,먼내(매봉공원),수원시 영통구 동탄원천로1109번길 61(매탄동),수원시 영통구 매탄동 1210,N,2,4,0,0,0,0,8,0,2,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,솔숲(매탄공원),수원시 영통구 매탄로 185(매탄동),수원시 영통구 매탄동 811,N,4,2,1,0,1,1,6,0,1,수원시 영통구 녹지공원과,031-228-8973,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,서호잔디광장,,수원시 권선구 서둔동 250-3,N,3,4,0,0,0,8,7,1,13,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,없음,,2020.9.3
공중화장실,못골어린이공원,수원시 팔달문로115번길 43(지동),수원시 팔달구 지동 473,N,1,2,0,0,0,7,3,0,12,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,반달,수원시 팔달구 장다리로219번길 16(인계동),수원시 팔달구 인계동 973,N,3,3,1,0,0,6,3,1,11,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,우만솔밭,,수원시 팔달구 우만2동 72-1,N,3,5,1,0,0,5,7,1,10,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,클래식(서쪽),수원시 팔달구 동수원로335(인계동),수원시 팔달구 인계동 1128,N,5,7,1,0,0,4,5,1,9,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,클래식(동쪽),수원시 팔달구 동수원로335(인계동),수원시 팔달구 인계동 1128,N,5,7,1,0,0,3,5,1,8,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
공중화장실,염원,수원시 팔달구 동수원로335(인계동),수원시 팔달구 인계동 1128,N,3,5,1,0,0,2,6,0,7,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,N,여자화장실,,2020.9.3
공중화장실,돌하루방,수원시 팔달구 동수원로397(인계동),수원시 팔달구 인계동 1117,N,3,3,1,0,0,1,3,1,6,수원시 팔달구 녹지공원과,031-228-7043,24시간,,,,지방자치단체,기타,수세식,여자,Y,여자화장실,,2020.9.3
